Roll No,Course Code,Slot,Inst name
12140730,CS301,L ,Dr. Anand M. Baswade
12140730,CS300,B ,Dr. Amit Kumar Dhar
12140730,LA358,H1 ,Dr. Rekha Ravindran
12140740,ME514,I ,Dr. Pravesh C. Shukla
12140740,ME333,B ,Dr. Ganesh Kolappan Geetha
12140740,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140760,LA358,H1 ,Dr. Rekha Ravindran
12140770,LA358,H1 ,Dr. Rekha Ravindran
12140780,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140780,LA358,H1 ,Dr. Rekha Ravindran
12140790,LA358,H1 ,Dr. Rekha Ravindran
12140790,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140800,LA358,H1 ,Dr. Rekha Ravindran
12140800,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140820,LA358,H1 ,Dr. Rekha Ravindran
12140820,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140830,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140830,LA358,H1 ,Dr. Rekha Ravindran
12140840,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140840,LA358,H1 ,Dr. Rekha Ravindran
12140850,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140850,LA358,H1 ,Dr. Rekha Ravindran
12140860,LA358,H1 ,Dr. Rekha Ravindran
12140860,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140870,LA358,H1 ,Dr. Rekha Ravindran
12140880,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140880,LA358,H1 ,Dr. Rekha Ravindran
12140890,LA358,H1 ,Dr. Rekha Ravindran
12140890,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140900,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140910,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140910,ME514,I ,Dr. Pravesh C. Shukla
12140910,LA358,H1 ,Dr. Rekha Ravindran
12140920,ME333,B ,Dr. Ganesh Kolappan Geetha
12140920,ME514,I ,Dr. Pravesh C. Shukla
12140920,LA358,H1 ,Dr. Rekha Ravindran
12140930,LA358,H1 ,Dr. Rekha Ravindran
12140930,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140940,LA358,H1 ,Dr. Rekha Ravindran
12140950,LA358,H1 ,Dr. Rekha Ravindran
12140960,LA358,H1 ,Dr. Rekha Ravindran
12140960,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140970,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140970,LA358,H1 ,Dr. Rekha Ravindran
12140980,LA358,H1 ,Dr. Rekha Ravindran
12140980,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140990,LA358,H1 ,Dr. Rekha Ravindran
12141000,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141000,LA358,H1 ,Dr. Rekha Ravindran
12141010,LA358,H1 ,Dr. Rekha Ravindran
12141010,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141020,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141020,LA358,H1 ,Dr. Rekha Ravindran
12141030,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141030,LA358,H1 ,Dr. Rekha Ravindran
12141050,ME514,I ,Dr. Pravesh C. Shukla
12141050,LA358,H1 ,Dr. Rekha Ravindran
12141050,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141060,LA358,H1 ,Dr. Rekha Ravindran
12141060,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141070,LA358,H1 ,Dr. Rekha Ravindran
12141070,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141080,LA358,H1 ,Dr. Rekha Ravindran
12141080,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141090,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141090,LA358,H1 ,Dr. Rekha Ravindran
12141100,LA358,H1 ,Dr. Rekha Ravindran
12141100,ME514,I ,Dr. Pravesh C. Shukla
12141100,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141110,LA358,H1 ,Dr. Rekha Ravindran
12141110,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141120,LA358,H1 ,Dr. Rekha Ravindran
12141130,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141130,ME514,I ,Dr. Pravesh C. Shukla
12141130,LA358,H1 ,Dr. Rekha Ravindran
12141140,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141140,LA358,H1 ,Dr. Rekha Ravindran
12141150,LA358,H1 ,Dr. Rekha Ravindran
12141160,LA358,H1 ,Dr. Rekha Ravindran
12141170,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141180,LA358,H1 ,Dr. Rekha Ravindran
12141180,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141190,LA358,H1 ,Dr. Rekha Ravindran
12141200,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141200,LA358,H1 ,Dr. Rekha Ravindran
12141210,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141210,LA358,H1 ,Dr. Rekha Ravindran
12141220,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141220,LA358,H1 ,Dr. Rekha Ravindran
12141230,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141230,LA358,H1 ,Dr. Rekha Ravindran
12141240,LA358,H1 ,Dr. Rekha Ravindran
12141240,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141260,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141260,LA358,H1 ,Dr. Rekha Ravindran
12141270,LA358,H1 ,Dr. Rekha Ravindran
12141270,ME514,I ,Dr. Pravesh C. Shukla
12141290,LA358,H1 ,Dr. Rekha Ravindran
12141300,LA358,H1 ,Dr. Rekha Ravindran
12141310,LA358,H1 ,Dr. Rekha Ravindran
12141310,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141320,LA358,H1 ,Dr. Rekha Ravindran
12141320,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141330,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141330,LA358,H1 ,Dr. Rekha Ravindran
12141340,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141340,LA358,H1 ,Dr. Rekha Ravindran
12141350,LA358,H1 ,Dr. Rekha Ravindran
12141360,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141360,LA358,H1 ,Dr. Rekha Ravindran
12141370,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141380,LA358,H1 ,Dr. Rekha Ravindran
12141390,LA358,H1 ,Dr. Rekha Ravindran
12141390,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141400,LA358,H1 ,Dr. Rekha Ravindran
12141400,MT301,D1 ,Dr. Avishek Adhikary
12141400,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141410,MT301,D1 ,Dr. Avishek Adhikary
12141410,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141420,LA358,H1 ,Dr. Rekha Ravindran
12141420,MT301,D1 ,Dr. Avishek Adhikary
12141420,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141430,LA358,H1 ,Dr. Rekha Ravindran
12141430,ME514,I ,Dr. Pravesh C. Shukla
12141440,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141440,LA358,H1 ,Dr. Rekha Ravindran
12141450,LA358,H1 ,Dr. Rekha Ravindran
12141460,LA358,H1 ,Dr. Rekha Ravindran
12141470,ME514,I ,Dr. Pravesh C. Shukla
12141470,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141470,LA358,H1 ,Dr. Rekha Ravindran
12141480,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141480,LA358,H1 ,Dr. Rekha Ravindran
12141490,ME333,B ,Dr. Ganesh Kolappan Geetha
12141490,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141490,LA358,H1 ,Dr. Rekha Ravindran
12141500,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141500,ME514,I ,Dr. Pravesh C. Shukla
12141500,LA358,H1 ,Dr. Rekha Ravindran
12141510,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141510,MT301,D1 ,Dr. Avishek Adhikary
12141510,LA358,H1 ,Dr. Rekha Ravindran
12141520,ME333,B ,Dr. Ganesh Kolappan Geetha
12141520,LA358,H1 ,Dr. Rekha Ravindran
12141520,ME514,I ,Dr. Pravesh C. Shukla
12141540,CS301,L ,Dr. Anand M. Baswade
12141540,LA358,H1 ,Dr. Rekha Ravindran
12141540,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141550,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141550,LA358,H1 ,Dr. Rekha Ravindran
12141560,ME333,B ,Dr. Ganesh Kolappan Geetha
12141560,LA358,H1 ,Dr. Rekha Ravindran
12141570,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141590,LA358,H1 ,Dr. Rekha Ravindran
12141600,LA358,H1 ,Dr. Rekha Ravindran
12141600,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141620,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141620,MT301,D1 ,Dr. Avishek Adhikary
12141630,LA358,H1 ,Dr. Rekha Ravindran
12141640,LA358,H1 ,Dr. Rekha Ravindran
12141650,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141650,LA358,H1 ,Dr. Rekha Ravindran
12141650,CS301,L ,Dr. Anand M. Baswade
12141650,CS300,B ,Dr. Amit Kumar Dhar
12141660,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141660,LA358,H1 ,Dr. Rekha Ravindran
12141670,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141670,LA358,H1 ,Dr. Rekha Ravindran
12141680,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141700,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141700,LA358,H1 ,Dr. Rekha Ravindran
12141720,LA358,H1 ,Dr. Rekha Ravindran
12141730,LA358,H1 ,Dr. Rekha Ravindran
12141740,LA358,H1 ,Dr. Rekha Ravindran
12141750,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141760,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141760,LA358,H1 ,Dr. Rekha Ravindran
12141770,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141780,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141790,DS209,"A1, F23 ",Dr. Souradyuti Paul
12141790,ME514,I ,Dr. Pravesh C. Shukla
12141790,LA358,H1 ,Dr. Rekha Ravindran
12210170,DSL502,B13 ,Dr. Anil Kumar Sao
12240010,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240010,IC300,G1 ,Dr. Satyajit Gupta
12240010,ME514,I ,Dr. Pravesh C. Shukla
12240030,CS300,B ,Dr. Amit Kumar Dhar
12240030,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240030,IC300,G1 ,Dr. Satyajit Gupta
12240030,CS301,L ,Dr. Anand M. Baswade
12240040,LA358,H1 ,Dr. Rekha Ravindran
12240040,CS301,L ,Dr. Anand M. Baswade
12240040,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240040,IC300,G1 ,Dr. Satyajit Gupta
12240040,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240060,EE301,A23 ,Dr. Sreejith T. V
12240060,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240060,IC300,G1 ,Dr. Satyajit Gupta
12240070,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240070,IC300,G1 ,Dr. Satyajit Gupta
12240070,ME333,B ,Dr. Ganesh Kolappan Geetha
12240080,CS301,L ,Dr. Anand M. Baswade
12240080,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240080,LA358,H1 ,Dr. Rekha Ravindran
12240080,IC300,G1 ,Dr. Satyajit Gupta
12240080,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240090,LA358,H1 ,Dr. Rekha Ravindran
12240090,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240090,EE301,A23 ,Dr. Sreejith T. V
12240090,IC300,G1 ,Dr. Satyajit Gupta
12240100,IC300,G1 ,Dr. Satyajit Gupta
12240100,EE301,A23 ,Dr. Sreejith T. V
12240100,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240100,LA358,H1 ,Dr. Rekha Ravindran
12240110,ME333,B ,Dr. Ganesh Kolappan Geetha
12240110,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240110,MT301,D1 ,Dr. Avishek Adhikary
12240110,IC300,G1 ,Dr. Satyajit Gupta
12240120,LA358,H1 ,Dr. Rekha Ravindran
12240120,ME514,I ,Dr. Pravesh C. Shukla
12240120,IC300,G1 ,Dr. Satyajit Gupta
12240120,ME333,B ,Dr. Ganesh Kolappan Geetha
12240120,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240130,ME333,B ,Dr. Ganesh Kolappan Geetha
12240130,ME514,I ,Dr. Pravesh C. Shukla
12240130,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240130,LA358,H1 ,Dr. Rekha Ravindran
12240130,IC300,G1 ,Dr. Satyajit Gupta
12240140,LA358,H1 ,Dr. Rekha Ravindran
12240140,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240140,IC300,G1 ,Dr. Satyajit Gupta
12240140,MT301,D1 ,Dr. Avishek Adhikary
12240150,LA358,H1 ,Dr. Rekha Ravindran
12240150,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240150,IC300,G1 ,Dr. Satyajit Gupta
12240150,CS301,L ,Dr. Anand M. Baswade
12240150,CS300,B ,Dr. Amit Kumar Dhar
12240160,IC300,G1 ,Dr. Satyajit Gupta
12240160,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240160,ME514,I ,Dr. Pravesh C. Shukla
12240160,ME333,B ,Dr. Ganesh Kolappan Geetha
12240160,LA358,H1 ,Dr. Rekha Ravindran
12240170,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240170,ME333,B ,Dr. Ganesh Kolappan Geetha
12240170,ME514,I ,Dr. Pravesh C. Shukla
12240170,LA358,H1 ,Dr. Rekha Ravindran
12240170,IC300,G1 ,Dr. Satyajit Gupta
12240180,IC300,G1 ,Dr. Satyajit Gupta
12240180,EE301,A23 ,Dr. Sreejith T. V
12240180,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240210,IC300,G1 ,Dr. Satyajit Gupta
12240210,EE301,A23 ,Dr. Sreejith T. V
12240210,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240210,LA358,H1 ,Dr. Rekha Ravindran
12240230,IC300,G1 ,Dr. Satyajit Gupta
12240230,CS301,L ,Dr. Anand M. Baswade
12240230,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240230,CS300,B ,Dr. Amit Kumar Dhar
12240240,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240240,IC300,G1 ,Dr. Satyajit Gupta
12240240,EE301,A23 ,Dr. Sreejith T. V
12240250,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240250,IC300,G1 ,Dr. Satyajit Gupta
12240250,CS301,L ,Dr. Anand M. Baswade
12240250,CS300,B ,Dr. Amit Kumar Dhar
12240250,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240260,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240260,EE301,A23 ,Dr. Sreejith T. V
12240260,IC300,G1 ,Dr. Satyajit Gupta
12240280,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240280,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240280,IC300,G1 ,Dr. Satyajit Gupta
12240280,CS300,B ,Dr. Amit Kumar Dhar
12240280,CS301,L ,Dr. Anand M. Baswade
12240290,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240290,CS301,L ,Dr. Anand M. Baswade
12240290,CS300,B ,Dr. Amit Kumar Dhar
12240290,IC300,G1 ,Dr. Satyajit Gupta
12240290,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240300,IC300,G1 ,Dr. Satyajit Gupta
12240300,EE301,A23 ,Dr. Sreejith T. V
12240300,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240330,IC300,G1 ,Dr. Satyajit Gupta
12240330,EE301,A23 ,Dr. Sreejith T. V
12240330,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240330,LA358,H1 ,Dr. Rekha Ravindran
12240340,IC300,G1 ,Dr. Satyajit Gupta
12240340,CS301,L ,Dr. Anand M. Baswade
12240340,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240340,LA358,H1 ,Dr. Rekha Ravindran
12240340,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240350,CS301,L ,Dr. Anand M. Baswade
12240350,IC300,G1 ,Dr. Satyajit Gupta
12240350,LA358,H1 ,Dr. Rekha Ravindran
12240350,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240350,CS300,B ,Dr. Amit Kumar Dhar
12240350,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240360,CS301,L ,Dr. Anand M. Baswade
12240360,IC300,G1 ,Dr. Satyajit Gupta
12240360,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240360,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240370,IC300,G1 ,Dr. Satyajit Gupta
12240370,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240370,EE301,A23 ,Dr. Sreejith T. V
12240380,IC300,G1 ,Dr. Satyajit Gupta
12240380,EE301,A23 ,Dr. Sreejith T. V
12240380,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240380,LA358,H1 ,Dr. Rekha Ravindran
12240390,EE301,A23 ,Dr. Sreejith T. V
12240390,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240390,IC300,G1 ,Dr. Satyajit Gupta
12240400,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240400,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240400,IC300,G1 ,Dr. Satyajit Gupta
12240400,CS301,L ,Dr. Anand M. Baswade
12240410,IC300,G1 ,Dr. Satyajit Gupta
12240410,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240410,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240410,CS301,L ,Dr. Anand M. Baswade
12240410,LA358,H1 ,Dr. Rekha Ravindran
12240420,IC300,G1 ,Dr. Satyajit Gupta
12240420,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240420,CS301,L ,Dr. Anand M. Baswade
12240420,CS300,B ,Dr. Amit Kumar Dhar
12240430,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240430,IC300,G1 ,Dr. Satyajit Gupta
12240430,CS300,B ,Dr. Amit Kumar Dhar
12240430,CS301,L ,Dr. Anand M. Baswade
12240430,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240440,ME333,B ,Dr. Ganesh Kolappan Geetha
12240440,MT301,D1 ,Dr. Avishek Adhikary
12240440,IC300,G1 ,Dr. Satyajit Gupta
12240440,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240450,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240450,IC300,G1 ,Dr. Satyajit Gupta
12240450,EE301,A23 ,Dr. Sreejith T. V
12240450,IC151,H1 ,Dr. Dhruv Pratap Singh
12240460,CS301,L ,Dr. Anand M. Baswade
12240460,IC300,G1 ,Dr. Satyajit Gupta
12240460,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240460,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240470,CS301,L ,Dr. Anand M. Baswade
12240470,IC300,G1 ,Dr. Satyajit Gupta
12240470,CS300,B ,Dr. Amit Kumar Dhar
12240470,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240470,LA358,H1 ,Dr. Rekha Ravindran
12240480,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240480,CS300,B ,Dr. Amit Kumar Dhar
12240480,CS301,L ,Dr. Anand M. Baswade
12240480,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240480,IC300,G1 ,Dr. Satyajit Gupta
12240490,IC300,G1 ,Dr. Satyajit Gupta
12240490,EE301,A23 ,Dr. Sreejith T. V
12240490,LA358,H1 ,Dr. Rekha Ravindran
12240490,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240500,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240500,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240500,IC300,G1 ,Dr. Satyajit Gupta
12240500,CS300,B ,Dr. Amit Kumar Dhar
12240500,CS301,L ,Dr. Anand M. Baswade
12240510,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240510,IC300,G1 ,Dr. Satyajit Gupta
12240510,DS209,"A1, F23 ",Dr. Souradyuti Paul
12240520,IC300,G1 ,Dr. Satyajit Gupta
12240520,LA358,H1 ,Dr. Rekha Ravindran
12240520,MT301,D1 ,Dr. Avishek Adhikary
12240520,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240530,IC102,B1 ,Dr. Praveen Kumar
12240530,EE301,A23 ,Dr. Sreejith T. V
12240530,CA250,"G2, E3 ",Dr. Anindita Ghosh
12240530,LA358,H1 ,Dr. Rekha Ravindran
12240530,IC300,G1 ,Dr. Satyajit Gupta
12240540,MT301,D1 ,Dr. Avishek Adhikary
12240540,IC300,G1 ,Dr. Satyajit Gupta
